n_agents,n_families,panel,n,base_rate,auc_pr,lift,auroc,mean_disagreement
3,2,gpt-oss-120b+qwen3.6-35b-a3b+qwen3.6-plus,786,0.375,0.449,1.2,0.611,0.374
3,3,llama-3.3-70b-instruct+gpt-oss-120b+qwen3.6-plus,787,0.376,0.446,1.19,0.606,0.37
3,3,llama-3.3-70b-instruct+gpt-5.6-sol+qwen3.6-35b-a3b,785,0.377,0.45,1.19,0.61,0.348
3,2,gpt-oss-20b+qwen3.6-27b+qwen3.6-plus,788,0.374,0.445,1.19,0.603,0.379
3,2,gpt-oss-20b+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.445,1.19,0.604,0.393
3,2,llama-3.1-8b-instruct+llama-4-maverick+qwen3.6-plus,788,0.376,0.442,1.18,0.6,0.351
3,2,llama-3.3-70b-instruct+llama-4-maverick+qwen3.6-35b-a3b,786,0.377,0.445,1.18,0.604,0.311
3,1,gpt-oss-20b+gpt-oss-120b+gpt-5.6-sol,780,0.379,0.446,1.18,0.581,0.355
3,2,gpt-oss-20b+gpt-5.6-sol+qwen3.6-27b,786,0.375,0.443,1.18,0.602,0.407
3,1,qwen3.6-27b+qwen3.6-35b-a3b+qwen3.6-plus,787,0.375,0.442,1.18,0.604,0.283
3,2,llama-3.3-70b-instruct+llama-4-maverick+gpt-5.6-sol,785,0.377,0.439,1.17,0.586,0.272
3,3,llama-3.1-8b-instruct+gpt-5.6-sol+qwen3.6-35b-a3b,785,0.377,0.439,1.16,0.591,0.37
3,2,llama-3.3-70b-instruct+llama-4-maverick+qwen3.6-27b,787,0.376,0.436,1.16,0.593,0.314
3,3,llama-3.3-70b-instruct+gpt-oss-20b+qwen3.6-plus,787,0.375,0.435,1.16,0.59,0.382
3,3,llama-4-maverick+gpt-oss-20b+qwen3.6-plus,788,0.374,0.435,1.16,0.597,0.387
3,3,llama-4-maverick+gpt-oss-120b+qwen3.6-27b,787,0.376,0.438,1.16,0.593,0.372
3,3,llama-4-maverick+gpt-oss-120b+qwen3.6-35b-a3b,785,0.377,0.436,1.16,0.591,0.364
3,2,gpt-oss-20b+gpt-5.6-sol+qwen3.6-35b-a3b,785,0.376,0.435,1.16,0.594,0.407
3,2,gpt-oss-120b+gpt-5.6-sol+qwen3.6-35b-a3b,784,0.378,0.437,1.16,0.596,0.383
3,2,llama-3.1-8b-instruct+qwen3.6-35b-a3b+qwen3.6-plus,788,0.374,0.431,1.15,0.59,0.377
3,2,llama-3.3-70b-instruct+gpt-oss-120b+gpt-5.6-sol,784,0.378,0.435,1.15,0.587,0.319
3,3,llama-3.3-70b-instruct+gpt-oss-120b+qwen3.6-27b,786,0.377,0.431,1.15,0.585,0.364
3,3,llama-3.3-70b-instruct+gpt-oss-120b+qwen3.6-35b-a3b,785,0.377,0.433,1.15,0.593,0.358
3,2,llama-4-maverick+gpt-oss-120b+gpt-5.6-sol,785,0.377,0.433,1.15,0.582,0.33
3,2,gpt-oss-20b+gpt-oss-120b+qwen3.6-plus,783,0.377,0.433,1.15,0.584,0.393
3,2,gpt-oss-20b+qwen3.6-27b+qwen3.6-35b-a3b,787,0.375,0.432,1.15,0.592,0.385
3,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+qwen3.6-plus,787,0.376,0.429,1.14,0.583,0.334
3,2,llama-3.1-8b-instruct+llama-4-maverick+gpt-5.6-sol,784,0.378,0.432,1.14,0.574,0.292
3,2,llama-3.1-8b-instruct+llama-4-maverick+qwen3.6-35b-a3b,787,0.376,0.43,1.14,0.582,0.334
3,2,llama-3.1-8b-instruct+qwen3.6-27b+qwen3.6-35b-a3b,787,0.375,0.429,1.14,0.584,0.365
3,2,llama-3.1-8b-instruct+qwen3.6-27b+qwen3.6-plus,788,0.374,0.428,1.14,0.584,0.367
3,2,llama-3.3-70b-instruct+gpt-oss-20b+gpt-5.6-sol,785,0.377,0.428,1.14,0.568,0.34
3,2,llama-3.1-8b-instruct+llama-4-maverick+qwen3.6-27b,788,0.376,0.425,1.13,0.577,0.347
3,3,llama-3.1-8b-instruct+gpt-oss-120b+qwen3.6-plus,787,0.376,0.424,1.13,0.577,0.393
3,3,llama-4-maverick+gpt-oss-20b+qwen3.6-27b,788,0.374,0.422,1.13,0.573,0.386
3,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-5.6-sol,783,0.378,0.425,1.12,0.562,0.276
3,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+qwen3.6-35b-a3b,787,0.376,0.421,1.12,0.573,0.315
3,2,llama-3.1-8b-instruct+gpt-oss-120b+gpt-5.6-sol,782,0.379,0.425,1.12,0.568,0.334
3,3,llama-3.3-70b-instruct+gpt-oss-20b+qwen3.6-35b-a3b,787,0.375,0.42,1.12,0.574,0.374
3,2,llama-4-maverick+gpt-oss-20b+gpt-5.6-sol,784,0.378,0.424,1.12,0.568,0.35
3,2,gpt-oss-20b+gpt-oss-120b+qwen3.6-27b,782,0.377,0.424,1.12,0.575,0.388
3,2,gpt-oss-20b+gpt-oss-120b+qwen3.6-35b-a3b,781,0.378,0.425,1.12,0.574,0.384
3,3,llama-3.1-8b-instruct+gpt-oss-120b+qwen3.6-35b-a3b,785,0.377,0.419,1.11,0.57,0.37
3,3,llama-3.3-70b-instruct+gpt-oss-20b+qwen3.6-27b,787,0.375,0.417,1.11,0.563,0.377
3,3,llama-4-maverick+gpt-oss-20b+qwen3.6-35b-a3b,787,0.375,0.418,1.11,0.576,0.379
3,3,llama-3.1-8b-instruct+gpt-oss-20b+qwen3.6-plus,786,0.375,0.414,1.1,0.557,0.4
3,3,llama-3.1-8b-instruct+gpt-oss-120b+qwen3.6-27b,786,0.377,0.416,1.1,0.566,0.387
3,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+qwen3.6-27b,787,0.376,0.41,1.09,0.557,0.327
3,2,llama-3.1-8b-instruct+gpt-oss-20b+gpt-5.6-sol,784,0.378,0.412,1.09,0.549,0.351
3,2,llama-3.3-70b-instruct+gpt-oss-20b+gpt-oss-120b,781,0.379,0.414,1.09,0.528,0.314
3,3,llama-3.1-8b-instruct+gpt-oss-20b+qwen3.6-27b,786,0.375,0.401,1.07,0.542,0.394
3,3,llama-3.1-8b-instruct+gpt-oss-20b+qwen3.6-35b-a3b,786,0.375,0.401,1.07,0.545,0.379
3,2,llama-3.3-70b-instruct+llama-4-maverick+gpt-oss-120b,786,0.377,0.402,1.07,0.533,0.277
3,2,llama-3.1-8b-instruct+llama-4-maverick+gpt-oss-120b,785,0.377,0.401,1.06,0.518,0.284
3,2,llama-3.1-8b-instruct+llama-3.3-70b-instruct+gpt-oss-120b,785,0.377,0.392,1.04,0.519,0.27
